poi_id,poi_type,lat,lon,x,y,mode,edge_id,lane_id,pos,dist_to_edge,status,error_reason
home_106242,home,46.128205,-1.012015,42751.82,41444.39,passenger,106568767#3,106568767#3_0,15.78,5.58,mapped,
home_106246,home,46.125074,-1.005399,43271.65,41109.32,pedestrian,-257566055#2,-257566055#2_0,35.39,9.68,mapped,
home_106246,home,46.125074,-1.005399,43271.65,41109.32,passenger,-257566055#2,-257566055#2_0,35.39,9.68,mapped,
home_106254,home,46.129255,-1.011329,42801.90,41562.38,pedestrian,114214128#2,114214128#2_0,9.84,5.59,mapped,
home_106254,home,46.129255,-1.011329,42801.90,41562.38,passenger,131113273#0,131113273#0_0,17.38,12.20,mapped,
home_106255,home,46.128517,-1.008458,43025.74,41485.94,pedestrian,119042369#0,119042369#0_0,19.35,3.65,mapped,
home_106255,home,46.128517,-1.008458,43025.74,41485.94,passenger,119042369#0,119042369#0_0,19.35,3.65,mapped,
home_106271,home,46.128695,-1.000417,43646.42,41521.32,pedestrian,301892756#1,301892756#1_0,73.19,11.97,mapped,
home_106271,home,46.128695,-1.000417,43646.42,41521.32,passenger,301892756#1,301892756#1_0,73.19,11.97,mapped,
home_106272,home,46.126916,-0.98675,44707.21,41350.32,pedestrian,460359796#0,460359796#0_0,177.17,23.66,mapped,
home_106272,home,46.126916,-0.98675,44707.21,41350.32,passenger,460359796#0,460359796#0_0,177.17,23.66,mapped,
home_106293,home,46.128228,-1.017031,42364.27,41437.26,pedestrian,131113271#0,131113271#0_0,24.20,16.41,mapped,
home_106293,home,46.128228,-1.017031,42364.27,41437.26,passenger,131113271#0,131113271#0_0,24.20,16.41,mapped,
home_1063,home,46.138447,-1.111444,35043.72,42394.96,pedestrian,304978859,304978859_0,17.14,12.64,mapped,
home_1063,home,46.138447,-1.111444,35043.72,42394.96,passenger,-72077881#0,-72077881#0_0,5.94,36.85,mapped,
home_10633,home,46.134964,-1.127213,33834.89,41979.14,pedestrian,72120985,72120985_0,24.64,11.90,mapped,
home_10633,home,46.134964,-1.127213,33834.89,41979.14,passenger,72120985,72120985_0,24.64,11.90,mapped,
home_106331,home,46.129789,-1.001973,43523.16,41639.84,pedestrian,305844827#6,305844827#6_0,27.74,12.95,mapped,
home_106331,home,46.129789,-1.001973,43523.16,41639.84,passenger,305844827#6,305844827#6_0,27.74,12.95,mapped,
home_106335,home,46.124595,-0.985561,44805.60,41094.77,pedestrian,119763467,119763467_0,0.10,13.47,mapped,
home_106335,home,46.124595,-0.985561,44805.60,41094.77,passenger,119763467,119763467_0,0.10,13.47,mapped,
home_106352,home,46.131124,-1.008206,43037.94,41776.08,pedestrian,1125032995#3,1125032995#3_0,29.54,14.19,mapped,
home_106352,home,46.131124,-1.008206,43037.94,41776.08,passenger,1125032995#3,1125032995#3_0,29.54,14.19,mapped,
home_10636,home,46.131532,-1.128845,33717.81,41594.84,pedestrian,-937801319#1,-937801319#1_0,7.16,23.57,mapped,
home_10636,home,46.131532,-1.128845,33717.81,41594.84,passenger,-937801319#1,-937801319#1_0,7.16,23.57,mapped,
home_106393,home,46.117278,-1.021088,42081.16,40212.83,pedestrian,113745474,113745474_0,71.80,12.07,mapped,
home_106393,home,46.117278,-1.021088,42081.16,40212.83,passenger,113745474,113745474_0,71.80,12.07,mapped,
home_106403,home,46.132657,-1.011865,42751.03,41939.33,pedestrian,113741416#1,113741416#1_0,16.41,12.53,mapped,
home_106403,home,46.132657,-1.011865,42751.03,41939.33,passenger,113741416#1,113741416#1_0,16.41,12.53,mapped,
home_106409,home,46.127883,-0.986976,44687.03,41457.32,pedestrian,-119763471#0,-119763471#0_0,8.46,16.78,mapped,
home_106409,home,46.127883,-0.986976,44687.03,41457.32,passenger,-119763471#0,-119763471#0_0,8.46,16.78,mapped,
home_106420,home,46.131134,-1.006453,43173.33,41780.59,pedestrian,1125033015,1125033015_0,4.58,7.78,mapped,
home_106420,home,46.131134,-1.006453,43173.33,41780.59,passenger,113741400#4,113741400#4_0,0.10,19.48,mapped,
home_106429,home,46.129836,-1.042536,40389.57,41567.06,pedestrian,391035937,391035937_0,99.59,1.97,mapped,
home_106429,home,46.129836,-1.042536,40389.57,41567.06,passenger,391035937,391035937_0,99.59,1.97,mapped,
home_106445,home,46.124479,-0.984977,44851.05,41083.03,pedestrian,-119763467,-119763467_0,31.99,7.50,mapped,
home_106445,home,46.124479,-0.984977,44851.05,41083.03,passenger,-119763467,-119763467_0,31.99,7.50,mapped,
home_106465,home,46.131124,-1.008206,43037.94,41776.08,pedestrian,1125032995#3,1125032995#3_0,29.54,14.19,mapped,
home_106465,home,46.131124,-1.008206,43037.94,41776.08,passenger,1125032995#3,1125032995#3_0,29.54,14.19,mapped,
home_106479,home,46.131224,-1.01016,42886.72,41783.41,pedestrian,-113741394#3,-113741394#3_0,58.30,10.58,mapped,
home_106479,home,46.131224,-1.01016,42886.72,41783.41,passenger,-113741394#3,-113741394#3_0,58.30,10.58,mapped,
home_106489,home,46.123539,-1.00983,42933.60,40930.19,pedestrian,712609230#2,712609230#2_0,33.98,3.71,mapped,
home_106489,home,46.123539,-1.00983,42933.60,40930.19,passenger,712609230#2,712609230#2_0,33.98,3.71,mapped,
home_106504,home,46.126507,-0.984271,44899.88,41309.73,pedestrian,-498612953#3,-498612953#3_0,61.68,6.98,mapped,
home_106504,home,46.126507,-0.984271,44899.88,41309.73,passenger,-498612953#3,-498612953#3_0,61.68,6.98,mapped,
home_106506,home,46.127062,-1.014363,42573.61,41312.86,pedestrian,113741413#0,113741413#0_0,20.99,9.96,mapped,
home_106506,home,46.127062,-1.014363,42573.61,41312.86,passenger,113741413#0,113741413#0_0,20.99,9.96,mapped,
home_106515,home,46.131856,-1.010356,42869.83,41853.25,pedestrian,113741395#1,113741395#1_0,29.16,13.49,mapped,
home_106515,home,46.131856,-1.010356,42869.83,41853.25,passenger,113741395#1,113741395#1_0,29.16,13.49,mapped,
home_106516,home,46.134651,-1.009351,42939.68,42165.74,pedestrian,961361856,961361856_0,14.89,7.85,mapped,
home_106516,home,46.134651,-1.009351,42939.68,42165.74,passenger,961361856,961361856_0,14.89,7.85,mapped,
home_106522,home,46.128538,-1.012188,42737.53,41481.05,pedestrian,106568767#2,106568767#2_0,10.87,9.09,mapped,
home_106522,home,46.128538,-1.012188,42737.53,41481.05,passenger,106568767#2,106568767#2_0,10.87,9.09,mapped,
home_106525,home,46.126931,-1.011383,42804.19,41304.06,pedestrian,106568767#6,106568767#6_0,8.79,6.29,mapped,
home_106525,home,46.126931,-1.011383,42804.19,41304.06,passenger,106568767#6,106568767#6_0,8.79,6.29,mapped,
home_106526,home,46.127029,-0.983509,44957.27,41369.23,pedestrian,460359791#1,460359791#1_0,2.98,0.81,mapped,
home_106526,home,46.127029,-0.983509,44957.27,41369.23,passenger,460359791#1,460359791#1_0,2.98,0.81,mapped,
home_106528,home,46.128251,-0.999081,43750.87,41474.58,pedestrian,-113747971,-113747971_0,26.79,23.77,mapped,
home_106528,home,46.128251,-0.999081,43750.87,41474.58,passenger,-113747971,-113747971_0,26.79,23.77,mapped,
home_106539,home,46.133239,-1.001558,43545.57,42023.97,pedestrian,113747976,113747976_0,14.07,7.04,mapped,
home_106539,home,46.133239,-1.001558,43545.57,42023.97,passenger,113747976,113747976_0,14.07,7.04,mapped,
home_106561,home,46.128742,-0.988842,44540.46,41549.11,pedestrian,305844824#0,305844824#0_0,56.13,9.23,mapped,
home_106561,home,46.128742,-0.988842,44540.46,41549.11,passenger,305844824#0,305844824#0_0,56.13,9.23,mapped,
home_106564,home,46.11693,-1.019733,42186.82,40176.77,pedestrian,-305550184#7,-305550184#7_0,80.37,84.81,mapped,
home_106564,home,46.11693,-1.019733,42186.82,40176.77,passenger,-305550184#7,-305550184#7_0,80.37,84.81,mapped,
home_106565,home,46.127862,-1.013933,42604.61,41402.57,pedestrian,113741409#9,113741409#9_0,2.38,4.73,mapped,
home_106565,home,46.127862,-1.013933,42604.61,41402.57,passenger,113741409#9,113741409#9_0,2.38,4.73,mapped,
home_106582,home,46.130966,-0.999788,43688.65,41774.86,pedestrian,287865107#0,287865107#0_0,78.00,1.99,mapped,
home_106582,home,46.130966,-0.999788,43688.65,41774.86,passenger,287865107#0,287865107#0_0,78.00,1.99,mapped,
home_10660,home,46.150284,-1.092691,36460.57,43744.74,pedestrian,78794394#3,78794394#3_0,73.24,18.39,mapped,
home_10660,home,46.150284,-1.092691,36460.57,43744.74,passenger,78794394#3,78794394#3_0,73.24,18.39,mapped,
home_106603,home,46.132029,-1.01042,42864.40,41872.35,pedestrian,113741395#1,113741395#1_0,21.97,2.60,mapped,
home_106603,home,46.132029,-1.01042,42864.40,41872.35,passenger,113741395#1,113741395#1_0,21.97,2.60,mapped,
home_106613,home,46.116485,-1.016854,42410.51,40132.88,pedestrian,191646780,191646780_0,101.88,33.23,mapped,
home_106613,home,46.116485,-1.016854,42410.51,40132.88,passenger,1024151017#1,1024151017#1_0,18.42,130.32,mapped,
home_10662,home,46.152487,-1.088619,36769.13,43997.07,pedestrian,128516201#1,128516201#1_0,67.03,12.90,mapped,
home_10662,home,46.152487,-1.088619,36769.13,43997.07,passenger,128516201#1,128516201#1_0,67.03,12.90,mapped,
home_106633,home,46.122724,-1.006432,43198.40,40846.22,pedestrian,1305991097#0,1305991097#0_0,55.14,19.82,mapped,
home_106633,home,46.122724,-1.006432,43198.40,40846.22,passenger,1305991097#0,1305991097#0_0,55.14,19.82,mapped,
home_106640,home,46.128695,-1.000417,43646.42,41521.32,pedestrian,301892756#1,301892756#1_0,73.19,11.97,mapped,
home_106640,home,46.128695,-1.000417,43646.42,41521.32,passenger,301892756#1,301892756#1_0,73.19,11.97,mapped,
home_106656,home,46.13213,-1.010484,42859.18,41883.44,pedestrian,113741395#1,113741395#1_0,9.71,2.88,mapped,
home_106656,home,46.13213,-1.010484,42859.18,41883.44,passenger,113741395#1,113741395#1_0,9.71,2.88,mapped,
home_106664,home,46.123996,-0.984544,44885.86,41030.21,pedestrian,-498613407#0,-498613407#0_0,47.56,13.41,mapped,
home_106664,home,46.123996,-0.984544,44885.86,41030.21,passenger,-498613407#0,-498613407#0_0,47.56,13.41,mapped,
home_10668,home,46.157461,-1.096334,36160.14,44535.41,pedestrian,60565435#2,60565435#2_0,23.66,16.33,mapped,
home_10668,home,46.157461,-1.096334,36160.14,44535.41,passenger,60565435#2,60565435#2_0,23.66,16.33,mapped,
home_106683,home,46.126287,-1.011269,42814.79,41232.73,pedestrian,-113747968#9,-113747968#9_0,41.76,10.93,mapped,
home_106683,home,46.126287,-1.011269,42814.79,41232.73,passenger,-113747968#9,-113747968#9_0,41.76,10.93,mapped,
home_106684,home,46.12867,-1.014752,42539.10,41490.77,pedestrian,1123753601,1123753601_0,26.12,7.31,mapped,
home_106684,home,46.12867,-1.014752,42539.10,41490.77,passenger,-131113271#4,-131113271#4_0,0.10,29.53,mapped,
home_106689,home,46.131689,-1.012696,42689.53,41830.17,pedestrian,113741415#0,113741415#0_0,63.30,14.06,mapped,
home_106689,home,46.131689,-1.012696,42689.53,41830.17,passenger,113741415#0,113741415#0_0,63.30,14.06,mapped,
