person_id,status,reason
149616,ok,
149617,ok,
149627,ok,
149628,ok,
149636,ok,
149638,ok,
149677,ok,
149678,ok,
149679,ok,
149680,ok,
149691,ok,
149692,ok,
149693,ok,
149701,ok,
149706,ok,
149708,ok,
149713,ok,
149716,ok,
149841,ok,
149843,ok,
149850,ok,
149851,ok,
149852,ok,
149854,ok,
149862,ok,
149863,ok,
149940,ok,
149941,ok,
149957,ok,
149961,ok,
149962,ok,
149963,ok,
149965,ok,
150017,ok,
150018,ok,
150065,ok,
150066,ok,
150081,ok,
150082,ok,
150141,ok,
150164,ok,
150216,ok,
150217,ok,
150244,ok,
150245,ok,
15025,ok,
150258,ok,
15026,ok,
150269,ok,
15027,ok,
150270,ok,
150271,ok,
150272,ok,
150274,ok,
150367,ok,
150368,ok,
150369,ok,
150390,ok,
150391,ok,
150402,ok,
150406,ok,
150419,ok,
150421,ok,
150422,ok,
150423,ok,
150430,ok,
150451,ok,
150452,ok,
150493,ok,
150494,ok,
150508,ok,
150521,ok,
150522,ok,
150526,ok,
150527,ok,
150530,ok,
150555,ok,
150567,ok,
150568,ok,
150585,ok,
150612,ok,
150614,ok,
150678,ok,
150679,ok,
150680,ok,
15069,ok,
150691,ok,
15070,ok,
15073,ok,
150734,ok,
150736,ok,
150737,ok,
150738,ok,
150739,ok,
15074,ok,
150751,ok,
150759,ok,
150760,ok,
150775,ok,
150801,ok,
150802,ok,
150818,ok,
150819,ok,
15082,ok,
15083,ok,
150837,ok,
150838,ok,
150841,ok,
150842,ok,
150847,ok,
150893,ok,
150902,ok,
150903,ok,
150905,ok,
150933,ok,
150961,ok,
150962,ok,
150965,ok,
150969,ok,
150989,ok,
150990,ok,
150991,ok,
150998,ok,
150999,ok,
151022,ok,
151023,ok,
151024,ok,
151043,ok,
151044,ok,
151049,ok,
151057,ok,
151058,ok,
151065,ok,
151066,ok,
151071,ok,
151072,ok,
151138,ok,
151139,ok,
151140,ok,
151154,ok,
151173,ok,
151174,ok,
151263,ok,
151284,ok,
151306,ok,
151307,ok,
151320,ok,
151325,ok,
151326,ok,
151329,ok,
151330,ok,
151345,ok,
151371,ok,
151372,ok,
151373,ok,
151375,ok,
151407,ok,
151408,ok,
151409,ok,
151413,ok,
151414,ok,
151416,ok,
151434,ok,
151435,ok,
151451,ok,
151454,ok,
151455,ok,
151472,ok,
151473,ok,
151478,ok,
151503,ok,
151505,ok,
151506,ok,
151507,ok,
151508,ok,
15153,ok,
151578,ok,
151583,ok,
151584,ok,
151600,ok,
151603,ok,
151604,ok,
151613,ok,
151614,ok,
151640,ok,
151641,ok,
151652,ok,
151654,ok,
151657,ok,
151658,ok,
151665,ok,
151666,ok,
151667,ok,
151674,ok,
