trip_id,route_id,route_short_name,route_color_hex,rgb
CA_LA_ROCHELLE:VehicleJourney:C3350429,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325483,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325484,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325485,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325486,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325487,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325497,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325498,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325499,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325500,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325508,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325524,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325525,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325528,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325532,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325534,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325535,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
