person_id;person_trip_id;leg_index;access_stop_id;egress_stop_id;transit_line_id;transit_route_id;departure_id;access_area_id;egress_area_id;transit_mode
108205;4;11;MOBIITI:Quay:113887.link:83356_spec;MOBIITI:Quay:113967.link:88879;CA_LA_ROCHELLE:Line:12;CA_LA_ROCHELLE:VehicleJourney:C3352282;;MOBIITI:StopPlace:78720;MOBIITI:StopPlace:78761;bus
108209;0;1;MOBIITI:Quay:113966.link:137727;MOBIITI:Quay:113933.link:2184;CA_LA_ROCHELLE:Line:12;CA_LA_ROCHELLE:VehicleJourney:C3352258;;MOBIITI:StopPlace:78761;MOBIITI:StopPlace:78744;bus
108209;0;3;MOBIITI:Quay:113934.link:162746;MOBIITI:Quay:114146.link:38629;CA_LA_ROCHELLE:Line:3;CA_LA_ROCHELLE:VehicleJourney:C3360360;;MOBIITI:StopPlace:78744;MOBIITI:StopPlace:78852;bus
108209;1;6;MOBIITI:Quay:113887.link:83356_spec;MOBIITI:Quay:113967.link:88879;CA_LA_ROCHELLE:Line:12;CA_LA_ROCHELLE:VehicleJourney:C3352276;;MOBIITI:StopPlace:78720;MOBIITI:StopPlace:78761;bus
10917;2;7;MOBIITI:Quay:114095.link:23813;MOBIITI:Quay:114426.link:16679;CA_LA_ROCHELLE:Line:8;CA_LA_ROCHELLE:VehicleJourney:C3319128;;MOBIITI:StopPlace:78827;MOBIITI:StopPlace:79004;bus
109313;1;4;MOBIITI:Quay:113774.link:89602;MOBIITI:Quay:113784.link:139917;CA_LA_ROCHELLE:Line:1;CA_LA_ROCHELLE:VehicleJourney:C3348584;;MOBIITI:StopPlace:78664;MOBIITI:StopPlace:78670;bus
109313;2;7;MOBIITI:Quay:113785.link:208455_spec;MOBIITI:Quay:113773.link:89605;CA_LA_ROCHELLE:Line:1;CA_LA_ROCHELLE:VehicleJourney:C3348565;;MOBIITI:StopPlace:78670;MOBIITI:StopPlace:78664;bus
10964;3;8;MOBIITI:Quay:113981.link:87165;MOBIITI:Quay:113816.link:198091;CA_LA_ROCHELLE:Line:13;CA_LA_ROCHELLE:VehicleJourney:C3352214;;MOBIITI:StopPlace:78769;MOBIITI:StopPlace:78683;bus
10964;3;10;MOBIITI:Quay:113813.link:64322;MOBIITI:Quay:114103.link:104194;CA_LA_ROCHELLE:Line:2;CA_LA_ROCHELLE:VehicleJourney:C3351545;;MOBIITI:StopPlace:78683;MOBIITI:StopPlace:78830;bus
10964;3;12;MOBIITI:Quay:114103.link:2405;MOBIITI:Quay:114505.link:104027;CA_LA_ROCHELLE:Line:324;CA_LA_ROCHELLE:VehicleJourney:C3364233;;MOBIITI:StopPlace:78830;MOBIITI:StopPlace:79050;bus
11073;0;1;MOBIITI:Quay:113761.link:123553;MOBIITI:Quay:113750.link:50018;CA_LA_ROCHELLE:Line:1;CA_LA_ROCHELLE:VehicleJourney:C3348602;;MOBIITI:StopPlace:78658;MOBIITI:StopPlace:78652;bus
11073;0;3;MOBIITI:Quay:113750.link:50018;MOBIITI:Quay:113854.link:172866;CA_LA_ROCHELLE:Line:3;CA_LA_ROCHELLE:VehicleJourney:C3360390;;MOBIITI:StopPlace:78652;MOBIITI:StopPlace:78703;bus
11073;1;6;MOBIITI:Quay:113856.link:58461;MOBIITI:Quay:113813.link:64322;CA_LA_ROCHELLE:Line:3;CA_LA_ROCHELLE:VehicleJourney:C3360536;;MOBIITI:StopPlace:78703;MOBIITI:StopPlace:78683;bus
11073;1;8;MOBIITI:Quay:113813.link:64322;MOBIITI:Quay:113760.link:123552;CA_LA_ROCHELLE:Line:1;CA_LA_ROCHELLE:VehicleJourney:C3348527;;MOBIITI:StopPlace:78683;MOBIITI:StopPlace:78658;bus
11080;0;1;MOBIITI:Quay:114109.link:114583;MOBIITI:Quay:113803.link:153999;CA_LA_ROCHELLE:Line:16;CA_LA_ROCHELLE:VehicleJourney:C3349071;;MOBIITI:StopPlace:78834;MOBIITI:StopPlace:78680;bus
11080;0;3;MOBIITI:Quay:113804.link:125310;MOBIITI:Quay:114298.link:53507;CA_LA_ROCHELLE:Line:20;CA_LA_ROCHELLE:VehicleJourney:C3360833;;MOBIITI:StopPlace:78680;MOBIITI:StopPlace:78932;bus
11195;0;1;MOBIITI:Quay:113772.link:198709;MOBIITI:Quay:113837.link:162691;CA_LA_ROCHELLE:Line:1;CA_LA_ROCHELLE:VehicleJourney:C3348600;;MOBIITI:StopPlace:78663;MOBIITI:StopPlace:78690;bus
11195;1;4;MOBIITI:Quay:113824.link:43761;MOBIITI:Quay:113771.link:198708;CA_LA_ROCHELLE:Line:1;CA_LA_ROCHELLE:VehicleJourney:C3348584;;MOBIITI:StopPlace:78684;MOBIITI:StopPlace:78663;bus
11196;1;2;MOBIITI:Quay:114180.link:200938;MOBIITI:Quay:113772.link:198709;CA_LA_ROCHELLE:Line:19;CA_LA_ROCHELLE:VehicleJourney:C3352639;;MOBIITI:StopPlace:78870;MOBIITI:StopPlace:78663;bus
11416;1;2;MOBIITI:Quay:114099.link:52842;MOBIITI:Quay:113803.link:153999;CA_LA_ROCHELLE:Line:17;CA_LA_ROCHELLE:VehicleJourney:C3352598;;MOBIITI:StopPlace:78829;MOBIITI:StopPlace:78680;bus
11416;1;4;MOBIITI:Quay:113804.link:125310;MOBIITI:Quay:113771.link:198708;CA_LA_ROCHELLE:Line:1;CA_LA_ROCHELLE:VehicleJourney:C3348559;;MOBIITI:StopPlace:78680;MOBIITI:StopPlace:78663;bus
11459;0;1;MOBIITI:Quay:114407.link:24829;MOBIITI:Quay:113841.link:94712;CA_LA_ROCHELLE:Line:8;CA_LA_ROCHELLE:VehicleJourney:C3319099;;MOBIITI:StopPlace:78994;MOBIITI:StopPlace:78693;bus
11459;0;3;MOBIITI:Quay:114147.link:80209;MOBIITI:Quay:114001.link:147169;CA_LA_ROCHELLE:Line:4;CA_LA_ROCHELLE:VehicleJourney:C3351841;;MOBIITI:StopPlace:78853;MOBIITI:StopPlace:78779;bus
11459;0;5;MOBIITI:Quay:114001.link:147170;MOBIITI:Quay:113976.link:96911;CA_LA_ROCHELLE:Line:13;CA_LA_ROCHELLE:VehicleJourney:C3352238;;MOBIITI:StopPlace:78779;MOBIITI:StopPlace:78767;bus
11461;0;1;MOBIITI:Quay:114421.link:151190;MOBIITI:Quay:114618.link:64336;CA_LA_ROCHELLE:Line:7;CA_LA_ROCHELLE:VehicleJourney:C3322100;;MOBIITI:StopPlace:79002;MOBIITI:StopPlace:79118;bus
